endpoint,numerator,denominator,proportion,ci_low,ci_high
detection,984,1200,0.82,0.7972525277108347,0.840705231903415
precision,984,984,1.0,0.996111259771097,1
plant_detection,815,973,0.8376156217882836,0.8131222608713579,0.8594536152520539
silent_plant,158,973,0.16238437821171633,0.14054638474794615,0.1868777391286421
benign_alarms,0,300,0.0,8.673617379884035e-19,0.012642971224546034
first_localization_coverage,984,984,1.0,0.996111259771097,1
first_localization_accuracy,984,984,1.0,0.996111259771097,1
first_unknown,0,984,0.0,0,0.0038887402289028636
runtime_localization_coverage,311595,314512,0.9907253141374573,0.9903842604962987,0.9910543804581822
runtime_localization_accuracy,311595,311595,1.0,0.9999876717807976,1
runtime_unknown,2917,314512,0.009274685862542606,0.008945619541817747,0.009615739503701233
wrong_origin_runs,0,1500,0.0,0,0.002554430720181488
wrong_origin_samples,0,314512,0.0,0,1.2213880238516013e-05
detection_MEMORY,184,240,0.7666666666666667,0.7092129217389285,0.815718320958907
detection_TIMING,240,240,1.0,0.9842460800584412,1
detection_COMMUNICATION,240,240,1.0,0.9842460800584412,1
detection_SENSOR_CONTROL,80,240,0.3333333333333333,0.27673259766097397,0.39518537565287887
detection_ACTUATOR,240,240,1.0,0.9842460800584412,1
effective_memory,184,184,1.0,0.9795494623774134,0.9999999999999999
dormant_memory,0,56,0.0,6.938893903907228e-18,0.06419393671876342
slow_drift,0,120,0.0,0,0.031019166418703486
weak_steps,25,60,0.4166666666666667,0.30064278558341617,0.5427191897735989
pulses,55,60,0.9166666666666666,0.8193105798166558,0.9638795433982692
pre_plant,757,815,0.9288343558282208,0.9090982825177621,0.9445468187045291
same_plant,20,815,0.024539877300613498,0.015941064398981315,0.03759977473224092
post_plant,38,815,0.046625766871165646,0.03415605009647872,0.0633493436041319
